"category","effect_primary","effect_categories","id","name","details","effect_sources","attribute_effects","passive_ids","passive_triggers","duration","duration_label","type","estimate","estimate_label","group","control_type","flags","immune_abilities","has_anti_need","has_fake_need","buff_tag","icon"
"passive","attack","attack","102456","Tăng cường tấn công nhẹ và mạnh","Sát thương gây ra bởi tấn công nhẹ và mạnh tăng 20%.","passive:event:adj_dmg","","1024561","adjust_params_out","18000.0","18000.0","2","1","buff","","0","","","","1","[102400]","buff_zengxiao.png"
"passive","attack","attack","107020","Dễ Thay Đổi","Thời gian duy trì của hộ thuẫn do bản thân phóng thích được kéo dài thêm #Y2#E giây. Trong thời gian giá trị Chân khí cao hơn #Y85%#E hoặc miễn nhiễm sát thương khí huyết bởi hộ thuẫn, tất cả sát thương khí huyết nhận vào sẽ giảm #Y20%#E.","passive:event:adj_dmg","","1070203; 1070204","adjust_params_in","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_taozhuang_yixiang"
"passive","attack","attack","107041","Chim Ưng Dương","Giảm sát thương nhận vào #Y1.2%#E, duy trì trong #Y10#E giây, tối đa có thể chồng lên #Y5#E tầng. Khi đạt đủ tầng sẽ nhận được một hiệu quả Hộ Ưng: Trong #Y10#E giây tiếp theo, sát thương nhận vào giảm #Y90%#E (nếu nguồn sát thương là thủ lĩnh thì hiệu quả giảm một nửa), hiệu quả này chỉ có thể kích hoạt một lần mỗi #Y30#E giây.","passive:event:adj_dmg","","1070411","adjust_params_in","5.0","5.0","1","1","buff","","","show=0","","","1","","buff_taozhuang_yingyang"
"passive","attack","attack","107042","Hộ Ưng","Trong #Y10#E giây tiếp theo, sát thương nhận vào giảm #Y90%#E (nếu nguồn sát thương là thủ lĩnh thì hiệu quả giảm một nửa).","passive:event:adj_dmg; passive:trigger:remove_self","","1070421; 1070422; 1070423","adjust_params_in","10.0","10.0","1","1","buff","","","show=0","","","1","","ss_buff_jianshou"
"passive","attack","attack","107102","Lăng Ba Bộ","Trong #Y2#E giây, tất cả sát thương nhận vào giảm #Y20%#E, tối đa chồng lên #Y3#E tầng.","passive:event:adj_dmg","","1071021","adjust_params_in","2.0","2.0","1","1","buff","","","show=0","","","1","","buff_taozhuang_lingbobu"
"passive","attack","attack","107110","Nhạc Sơn Nghiêng","Đối với mục tiêu có khí huyết cao hơn #Y50#E%, sát thương gây ra tăng #Y5#E%, mỗi #Y5%#E khí huyết thêm sẽ tăng thêm #Y1%#E, tối đa tăng #Y10#E%.","passive:event:adj_dmg_by_tg_hp","","1071101","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_taozhuang_yueshanqin"
"passive","attack","attack","109010","Ảo Thuật Như Ý","Sát thương gây ra bởi liên kích trên không và kỹ năng phát sinh trên không tăng #H15.0%#E, đồng thời sẽ gây thêm #H4#E điểm sát thương chân khí.","passive:event:adj_dmg; passive:event:ex_zq_dmg","","1090101; 1090102","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_xf_bd_4_23.png"
"passive","attack","attack","109418","【Bùa chú】Hiệu quả·Thú trấn ải hùng","Khi giá trị khí huyết dưới 30%, sát thương gây ra và nhận vào đều tăng 20%.","passive:event:adj_dmg","","1096071; 1096072","adjust_params_in; adjust_params_out","1800.0","1800.0","1","1","buff","109411","","","","","1","","buff_guihuo_huifu"
"passive","attack","attack","109419","【Bùa chú】Hiệu quả·Thú trấn ải hùng","Khi giá trị khí huyết dưới 30%, sát thương gây ra và nhận vào đều giảm 20%.","passive:event:adj_dmg","","1096081; 1096082","adjust_params_in; adjust_params_out","1800.0","1800.0","1","1","buff","109411","","","","","1","","buff_guihuo_huifu"
"passive","attack","attack","109420","【Bùa chú】Hiệu quả·Thú trấn ải hùng","Khi ở trạng thái kiểm soát, sát thương nhận vào giảm 20%.","passive:event:adj_dmg","","1096091","adjust_params_in","1800.0","1800.0","1","1","buff","109411","","","","","1","","buff_guihuo_huifu"
"passive","attack","attack","109426","【Bùa chú】Hiệu quả·Thú trấn ải hùng","Đối với mục tiêu có tỷ lệ khí huyết trên #Y60%#E, sát thương kỳ thuật gây ra tăng 15%.","passive:event:adj_dmg","","1096301","adjust_params_out","1800.0","1800.0","1","1","buff","109411","","","","","1","","buff_guihuo_huifu"
"passive","attack","attack","109561","Ăn quá nhiều","Sát thương nhận vào tăng20%.","passive:event:adj_dmg","","1095611","adjust_pre_damage","5.0","5.0","1","2","debuff","","","show=2","","","1","","ss_buff_qijie"
"passive","attack","attack","109572","Liên Tinh","Sát thương gây ra bởi kỹ năng võ học tăng #Y3%#E, và kỹ năng võ học gây thêm sát thương cho kẻ thù ở khoảng cách ngoài #Y4#E mét, khoảng cách càng xa sát thương càng cao, khi vượt quá #Y8#E mét sẽ đạt mức sát thương tối đa #Y1%#E.","passive:event:adj_dmg; passive:trigger:remove_self","","1095702; 1095721; 1095722; 1095723; 1095724; 1095725; 1095726","adjust_params_out; adjust_pre_damage","5.1","5.1","1","1","buff","","","show=0","","","1","","buff_taozhuang_xing"
"passive","attack","attack","109576","Đoạn Nhạc","Sát thương khí huyết gây ra tăng #Y5%#E, Đòn nhẹ và đòn mạnh · kỹ năng phát sinh, kỹ năng kích hoạt phối hợp và hiệu quả phối hợp của nó gây thêm sát thương #Y5%#E.","passive:event:adj_dmg","","1095761; 1095762","adjust_params_out","5.1","5.1","1","1","buff","","","show=0","","","1","","buff_taozhuang_duan"
"passive","attack","attack","109622","Trọng Thương","Nội lực bị rối loạn, sát thương gây ra bởi trạng thái bất thường tăng sâu.","passive:event:adj_dmg","","1096221","adjust_pre_damage","15.0","15.0","1","2","debuff","","","show=0","","","1","","ss_buff_yihsang.png"
"passive","attack","attack","109632","Máu nổ (Ẩn,5 Xung)","Gây một lần sát thương lớn.","passive:event:do_calcpoint","","1096321","adjust_calcpoint_hit_tg","0.2","0.2","1","2","debuff","","","show=1","","","1","","debuff_xf_bd_3_05.png"
"passive","attack","attack","109710","Kinh Thần","Tất cả sát thương liên tục nhận được và sát thương chảy máu cao tăng #Y5%#E, duy trì trong #Y15#E giây, tối đa có thể chồng lên #Y5#E tầng.","passive:event:adj_dmg","","1097101; 1097102","adjust_params_in","15.0","15.0","1","2","debuff","","","show=0","","","1","","buff_xf_bd_3_05.png"
"passive","attack","attack","109711","Kinh Thần","Tất cả sát thương liên tục nhận được và sát thương chảy máu cao tăng #Y10%#E, duy trì trong #Y15#E giây, tối đa có thể chồng lên #Y5#E tầng.","passive:event:adj_dmg","","1097111; 1097112","adjust_params_in","15.0","15.0","1","2","debuff","","","show=0","","","1","","buff_xf_bd_3_05.png"
"passive","attack","attack","120013","Không Biết Lạnh","Tất cả sát thương nhận được đều có thể giảm #Y40%#E.","passive:event:adj_dmg","","1200131","adjust_params_in","2.0","2.0","1","1","buff","","","show=0","","","1","","buff_xf_bd_4_17.png"
"passive","attack","attack","120016","Khói Liễu Chồng Chất","Đánh nhẹ, kỹ năng đường đạn, đánh mạnh, kỹ năng truy kích đánh mạnh nhận được tăng sát thương #Y12%#E. Hiệu quả nhận được #Y2#E giây sau, kỹ năng tương ứng đánh trúng lần nữa có thể làm mới thời gian.","passive:event:adj_dmg","","1200161","adjust_params_out","15.0","15.0","1","1","buff","","","show=0","","","1","","buff_taozhuang_yan.png"
"passive","attack","attack","130102","Bảo vệ khi máu thấp","Khi giá trị khí huyết thấp hơn 25%, sát thương nhận vào được giảm thêm 30%","passive:event:adj_dmg","","1301021","adjust_params_in","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","130204","Tăng cường kỹ năng phá phòng","Sát thương gây ra bởi kỹ năng Phá phòng được Tăng #G15%#E","passive:event:adj_dmg","","1302041","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","130205","Bảo vệ khi máu thấp","Khi Giá trị Khí huyết thấp hơn 25%, Sát thương nhận vào được Thêm giảm 20%","passive:event:adj_dmg","","1302051; 1302052","adjust_params_in","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","130206","Khí huyết thấp: Giảm sát thương","Khi Giá trị Khí huyết thấp hơn 25%, Sát thương nhận vào được Thêm giảm 2%, có thể Chồng lên 5 Tầng","passive:event:adj_dmg","","1302061","adjust_params_in","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","130207","Khí huyết thấp: Tăng sát thương","Khi Giá trị Khí huyết thấp hơn 25%, Sát thương gây ra được Thêm tăng 3%, có thể Chồng lên 5 Tầng","passive:event:adj_dmg","","1302071","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","130218","Tăng cường sát thương đánh nhẹ","Tăng cường sát thương đánh nhẹ.","passive:event:adj_dmg","","1302181","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","130219","Tăng cường sát thương kỹ năng tích lực","Tăng cường sát thương kỹ năng tích lực.","passive:event:adj_dmg","","1302191","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","130220","Tăng cường sát thương kỹ năng võ học","Tăng cường sát thương kỹ năng võ học.","passive:event:adj_dmg","","1302201","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","130221","Kỹ năng đặc biệt: Tăng cường sát thương","Tăng cường sát thương kỹ năng đặc biệt.","passive:event:adj_dmg","","1302211","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","130222","Đánh nhẹ: Giảm sát thương","Giảm sát thương đánh nhẹ.","passive:event:adj_dmg","","1302221","adjust_pre_damage","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","130223","Kỹ năng tích lực: Giảm sát thương","Giảm sát thương kỹ năng tích lực.","passive:event:adj_dmg","","1302231","adjust_pre_damage","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","130224","Kỹ năng võ học: Giảm sát thương","Giảm sát thương kỹ năng võ học.","passive:event:adj_dmg","","1302241","adjust_pre_damage","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","130225","Kỹ năng đặc biệt: Giảm sát thương","Giảm sát thương kỹ năng đặc biệt.","passive:event:adj_dmg","","1302251","adjust_pre_damage","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","130226","Liên kích: Tăng cường","Khi đánh trúng đơn vị đang ở trạng thái bị tấn công hoặc bị khống chế, sát thương gây ra được tăng thêm #G5%#E.","passive:event:adj_dmg","","1302261","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","130227","Liên kích: Tăng cường sát thương","Khi đánh trúng đơn vị đang ở trạng thái bị tấn công hoặc bị khống chế, sát thương gây ra được tăng thêm #G2%#E, có thể chồng lên 5 tầng.","passive:event:adj_dmg","","1302271","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","140102","Hoàng Vô Tướng - Hiệp cảnh thiên phú 2","Sát thương gây ra cho thủ lĩnh nhiều người Hoàng Vô Tướng đang ở trạng thái kiệt sức được tăng lên.","passive:event:adj_dmg","","1401021","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","140103","Hoàng Vô Tướng - Hiệp cảnh thiên phú 3","Sát thương bị giảm khi bị Trường gió của Hoàng Vô Tướng đánh bay.","passive:event:adj_dmg","","1401031","adjust_params_in","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","140202","Tiểu Thập Thất - Hiệp cảnh thiên phú 2","Sát thương gây ra cho Thủ lĩnh Tiểu Thập Thất nhiều người đang ở trạng thái kiệt sức được tăng lên.","passive:event:adj_dmg","","1402021","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","140203","Tiểu Thập Thất - Hiệp cảnh thiên phú 3","Sát thương gây ra cho kiếm được Triệu Hồi bởi Tiểu Thập Thất được tăng lên.","passive:event:adj_dmg","","1402031","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","140302","Diệp Vạn Sơn-Hiệp cảnh thiên phú2","Sát thương gây ra cho Thủ lĩnh Diệp Vạn Sơn nhiều người đang ở trạng thái kiệt sức được tăng lên.","passive:event:adj_dmg","","1403021","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","140402","Đạo nhân Lừa-Hiệp cảnh thiên phú2","Sát thương gây ra cho Thủ lĩnh Đạo nhân Lừa nhiều người đang ở trạng thái kiệt sức được tăng lên.","passive:event:adj_dmg","","1404021","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","140502","Dung Uyên-Hiệp cảnh thiên phú2","Sát thương gây ra cho Thủ lĩnh Dung Uyên nhiều người đang ở trạng thái kiệt sức được tăng lên.","passive:event:adj_dmg","","1405021","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","140503","Dung Uyên-Hiệp cảnh thiên phú3","Trong trận chiến với Thủ lĩnh Dung Uyên nhiều người, sát thương từ Mộc Diều và Thùng thuốc nổ được giảm xuống.","passive:event:adj_dmg","","1405031","adjust_params_in","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","140902","Khôn Nhất Nhi-Hiệp cảnh thiên phú2","Sát thương gây ra cho Thủ lĩnh Nhiều người Khôn Nhất Nhi đang ở trạng thái Kiệt sức được tăng lên.","passive:event:adj_dmg","","1409021","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","140903","Khôn Nhất Nhi - Hiệp cảnh thiên phú3","Sát thương nhận từ Khôn Nhất Nhi cầm Kim Thanh được Giảm sát thương.","passive:event:adj_dmg","","1409031","adjust_params_in","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","141002","Quỷ Công Tử - Hiệp cảnh thiên phú2","Sát thương gây ra cho Thủ lĩnh Nhiều người Quỷ Công Tử đang ở trạng thái Kiệt sức được tăng lên.","passive:event:adj_dmg","","1410021","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","141003","Quỷ Công Tử - Hiệp cảnh thiên phú3","Trong Chiến đấu với Nhiều người Quỷ Công Tử, sát thương gây ra cho chiếc kiệu được tăng lên.","passive:event:adj_dmg","","1410031","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","141102","Khách Túy Quyền - Hiệp cảnh thiên phú 2","Sát thương gây ra cho Thủ lĩnh Khách Túy Quyền ở trạng thái kiệt sức được tăng lên.","passive:event:adj_dmg","","1411021","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","141103","Khách Túy Quyền - Hiệp cảnh thiên phú 3","Trong chiến đấu với nhiều người Khách Túy Quyền, sát thương nhận từ Khách Túy Quyền ở trạng thái say rượu được giảm xuống.","passive:event:adj_dmg","","1411031","adjust_params_in","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","141202","Nghệ Nhân Rối Bóng - Hiệp cảnh thiên phú 2","Sát thương gây ra cho Thủ lĩnh Nghệ Nhân Rối Bóng ở trạng thái kiệt sức được tăng lên.","passive:event:adj_dmg","","1412021","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","141203","Nghệ Nhân Rối Bóng - Hiệp cảnh thiên phú 3","Trong chiến đấu với nhiều người Nghệ Nhân Rối Bóng, sát thương gây ra cho Bóng và người rối được tăng lên.","passive:event:adj_dmg","","1412031","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","141702","Thần Tài Đen-Hiệp cảnh thiên phú2","Sát thương gây ra đối với tín đồ của Thần Tài Đen và Đồng tiền lớn được tăng lên.","passive:event:adj_dmg","","1417021","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","141802","Đạo Chủ-Hiệp cảnh thiên phú2","Trong giai đoạn đánh Chuột Chuột, sát thương nhận được từ Đạo Chủ giảm đi.","passive:event:adj_dmg","","1418021","adjust_pre_damage","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","141804","Đạo Chủ-Chuột Chuột Tăng sát thương đánh dấu BUFF","Trong trận Chiến đấu với Nhiều người Đạo Chủ, Chuột Chuột gây sát thương tăng lên đối với Đạo Chủ.","passive:event:adj_dmg","","1418041","adjust_params_out","-1.0","infinite","1","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","141902","Hà Bá-Hiệp cảnh thiên phú2","Trong thời gian Lãng Dũng Thiên Điệp, người chơi gây thêm sát thương lên hộ thuẫn của Hà Bá.","passive:event:adj_dmg","","1419021","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","141903","Hà Bá-Hiệp cảnh thiên phú3","Trong trận chiến với Hà Bá nhiều người, Vòng Thủy do Hải Lãng Thao Thiên tạo ra giảm sát thương lên bản thân.","passive:event:adj_dmg","","1419031","adjust_pre_damage","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","142002","Chủ Ký Quan-Hiệp cảnh thiên phú2","Sát thương lên Bóng Quan và Quỷ Thủ của Chủ Ký Quan được tăng lên.","passive:event:adj_dmg","","1420021","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","142003","Chủ Ký Quan-Hiệp cảnh thiên phú3","Trong trận chiến với Chủ Ký Quan nhiều người, sát thương từ Tử Sát Truy Hồn Ba giảm xuống.","passive:event:adj_dmg","","1420031","adjust_pre_damage","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","142102","Điền Anh-Hiệp cảnh thiên phú2","Sát thương lên Phân Thân Cát và Pháp Trượng của Điền Anh được tăng lên.","passive:event:adj_dmg","","1421021","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","142103","Điền Anh-Hiệp cảnh thiên phú3","Trong trận chiến với Điền Anh nhiều người, sát thương từ tất cả kỹ năng Pháp Trượng giảm xuống.","passive:event:adj_dmg","","1421031","adjust_pre_damage","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","142202","Quách Hân-Hiệp cảnh thiên phú2","Sát thương lên Chim Ỳ Thúc và lính Đao Mạc được tăng lên.","passive:event:adj_dmg","","1422021","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","142203","Quách Hân-Hiệp cảnh thiên phú3","Trong trận chiến với Quách Hân nhiều người, khi cầm Quân Kỳ, sát thương từ tất cả nguồn giảm xuống.","passive:event:adj_dmg","","1422031","adjust_pre_damage","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","142302","Chủ Sói Trắng-Hiệp cảnh thiên phú2","Sát thương lên Sói nhỏ của Chủ Sói Trắng được tăng lên.","passive:event:adj_dmg","","1423021","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","142303","Chủ Sói Trắng-Hiệp cảnh thiên phú3","Trong trận chiến với Chủ Sói Trắng nhiều người, sát thương từ tất cả hiệu ứng Chảy Máu giảm xuống.","passive:event:adj_dmg","","1423031","adjust_pre_damage","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","142402","Lang Trung Rắn-Hiệp cảnh thiên phú2","Sát thương lên Hung Xà·Viêm và Rắn Độc·Viêm được tăng lên.","passive:event:adj_dmg","","1424021","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","142403","Lang Trung Rắn-Hiệp cảnh thiên phú3","Trong trận chiến với Nhiều người Lang Trung Rắn, sát thương từ Hung xà·Hàn và Hung xà·Viêm được giảm.","passive:event:adj_dmg","","1424031","adjust_pre_damage","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","142502","Vọng Nguyệt Thiền Viên-Hiệp cảnh thiên phú2","Sát thương gây ra cho Phân thân Bóng Trăng và Huyễn Trăng được tăng.","passive:event:adj_dmg","","1425021","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","142503","Vọng Nguyệt Thiền Viên-Hiệp cảnh thiên phú3","Trong trận chiến với Vọng Nguyệt Thiền Viên, sát thương từ loại sét được giảm.","passive:event:adj_dmg","","1425031","adjust_pre_damage","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","142602","Thiên Lộc-Hiệp cảnh thiên phú2","Sát thương gây ra cho các Triệu Hồi Vật được tăng.","passive:event:adj_dmg","","1426021","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","142702","Thần Địa Sát-Hiệp cảnh thiên phú2","Trong trận chiến với Thần Đất Sát, sát thương gây ra cho Thần Đất Sát trong trạng thái Choáng váng được tăng.","passive:event:adj_dmg","","1427021","adjust_params_out","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
"passive","attack","attack","142703","Thần Địa Sát-Hiệp cảnh thiên phú3","Trong trận chiến với Thần Đất Sát, sát thương từ động đất được giảm.","passive:event:adj_dmg","","1427031","adjust_pre_damage","-1.0","infinite","2","1","buff","","","show=1","","","1","","buff_zengxiao.png"
